n_ciudades,p,T_p,Speedup,Eficiencia
4,1,0.018,1.0,1.0
4,2,0.016,1.125,0.5625
4,4,0.157,0.11464968152866241,0.028662420382165602
4,8,1.474,0.012211668928086838,0.0015264586160108548
4,16,1.043,0.01725790987535954,0.0010786193672099713
5,1,0.025,1.0,1.0
5,2,0.065,0.38461538461538464,0.19230769230769232
5,4,1.113,0.022461814914645106,0.005615453728661277
5,8,1.044,0.023946360153256706,0.0029932950191570882
5,16,1.437,0.017397355601948505,0.0010873347251217815
10,1,0.021,1.0,1.0
10,2,0.018,1.1666666666666667,0.5833333333333334
10,4,0.191,0.1099476439790576,0.0274869109947644
10,8,1.144,0.01835664335664336,0.00229458041958042
10,16,1.035,0.02028985507246377,0.0012681159420289856
20,1,0.095,1.0,1.0
20,2,0.228,0.41666666666666663,0.20833333333333331
20,4,0.174,0.5459770114942529,0.13649425287356323
20,8,1.132,0.08392226148409895,0.01049028268551237
20,16,1.046,0.09082217973231357,0.005676386233269598
40,1,203.85,1.0,1.0
40,2,212.963,0.9572085291811253,0.47860426459056266
40,4,48.285,4.221808014911463,1.0554520037278659
40,8,103.244,1.9744488783851846,0.24680610979814807
40,16,101.13499999999999,2.0156226825530235,0.12597641765956397
50,1,3472.119,1.0,1.0
50,2,3832.203,0.9060373367486013,0.45301866837430066
50,4,1477.618,2.349808272503448,0.587452068125862
50,8,7898.067,0.4396163010518903,0.05495203763148629
50,16,3510.551,0.989052430800749,0.06181577692504681
