n_ciudades,tipo,p,tiempo_seg
20,serial,1,0.095
20,parallel,16,1.046
10,parallel,16,1.035
4,parallel,2,0.016
50,parallel,16,3510.551
4,serial,1,0.018
50,parallel,2,3832.203
5,parallel,8,1.044
10,parallel,2,0.018
4,parallel,16,1.043
20,parallel,4,0.174
5,serial,1,0.025
10,parallel,8,1.144
5,parallel,4,1.113
20,parallel,8,1.132
10,parallel,4,0.191
40,parallel,2,212.963
5,parallel,2,0.065
40,parallel,4,48.285
50,parallel,8,7898.067
40,serial,1,203.85
40,parallel,16,101.13499999999999
50,parallel,4,1477.618
20,parallel,2,0.228
5,parallel,16,1.437
4,parallel,4,0.157
10,serial,1,0.021
4,parallel,8,1.474
40,parallel,8,103.244
50,serial,1,3472.119
